2021-10-14 12:10:490 INFO  LoginPage :41 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (92e8b4638c07b3af76ba68ef3c8607c5)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:661 INFO  LoginPage :46 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (92e8b4638c07b3af76ba68ef3c8607c5)] -> xpath: //div[@class='form-group top-margin-6']//child::app-validated-input/child::div/child::app-error-message[@class='full-width ng-star-inserted']/following::div[text()=' This field is required ']]
2021-10-14 12:10:570 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:691 INFO  LoginPage :31 - Entering UserName [[ChromeDriver: chrome on WINDOWS (da444a3dcec60811de3ab66e82430a23)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:895 INFO  LoginPage :36 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (da444a3dcec60811de3ab66e82430a23)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:41 INFO  LoginPage :41 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (da444a3dcec60811de3ab66e82430a23)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:201 INFO  LoginPage :46 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (da444a3dcec60811de3ab66e82430a23)] -> xpath: //div[@class='form-group top-margin-6']//child::app-validated-input/child::div/child::app-error-message[@class='full-width ng-star-inserted']/following::div[text()=' This field is required ']]
2021-10-14 12:10:129 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:764 INFO  LoginPage :31 - Entering UserName [[ChromeDriver: chrome on WINDOWS (7c98b71e197137488cbf90b5ee840c61)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:968 INFO  LoginPage :36 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (7c98b71e197137488cbf90b5ee840c61)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:128 INFO  LoginPage :41 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (7c98b71e197137488cbf90b5ee840c61)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:370 INFO  LoginPage :46 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='form-group top-margin-6']//child::app-validated-input/child::div/child::app-error-message[@class='full-width ng-star-inserted']/following::div[text()=' This field is required ']'
2021-10-14 12:10:968 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:889 INFO  LoginPage :31 - Entering UserName [[ChromeDriver: chrome on WINDOWS (0b81ada114c6f99893cb5e9bdcea6972)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:23 INFO  LoginPage :36 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (0b81ada114c6f99893cb5e9bdcea6972)] -> xpath: //input[@id = 'password-inp']]
